year,quarter,month,flight_date,reporting_airline,tail_number,flight_number,origin,dest,crs_dep_time,dep_time,dep_delay_minutes,cancelled,cancelletion_code,air_time,distance,weather_delay
2021,1,3,3/1/2021 12:00:00 AM,NK,N643NK,251,CLE,ATL,0805,0759,0.00,0.00,,90.00,554.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,NK,N643NK,252,ATL,CLE,1055,1112,17.00,0.00,,71.00,554.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N646NK,1673,CMH,MCO,0745,0742,0.00,0.00,,108.00,802.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N647NK,1646,FLL,CLE,0835,0830,0.00,0.00,,141.00,1062.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N647NK,708,CLE,MCO,1227,1215,0.00,0.00,,121.00,895.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N650NK,1069,CLE,LAS,1448,1446,0.00,0.00,,238.00,1824.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N650NK,178,TPA,CLE,1115,1112,0.00,0.00,,124.00,927.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N691NK,177,CLE,TPA,1910,1922,12.00,0.00,,123.00,927.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N691NK,534,MCO,CLE,1547,1602,15.00,0.00,,125.00,895.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N697NK,1168,LAS,CLE,0705,0702,0.00,0.00,,216.00,1824.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N697NK,1625,CLE,FLL,1600,1553,0.00,0.00,,143.00,1062.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N913NK,440,FLL,CLE,1940,1934,0.00,0.00,,146.00,1062.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N918NK,445,CMH,FLL,0600,0556,0.00,0.00,,132.00,973.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N918NK,492,FLL,CMH,2045,2043,0.00,0.00,,135.00,973.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N933NK,419,CLE,FLL,0900,1027,87.00,0.00,,147.00,1062.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,OH,N501BG,5073,PHL,CLE,1430,1432,2.00,0.00,,75.00,363.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N501BG,5076,CLE,PHL,1801,1756,0.00,0.00,,60.00,363.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N501BG,5365,PHL,CLE,2120,2117,0.00,0.00,,71.00,363.00,
